frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
1,Entry Corridor,0,1089,7.779,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.7912,0.0,CRITICAL
31,Entry Corridor,0,1127,8.05,1.0,0.4209,0.2007,0.9672,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4689,51.5,CRITICAL
61,Entry Corridor,0,1084,7.743,1.0,0.4568,0.2444,0.9125,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4692,48.6,CRITICAL
91,Entry Corridor,0,1100,7.857,1.0,0.4461,0.2158,0.9231,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4647,49.7,CRITICAL
121,Entry Corridor,0,1159,8.279,1.0,0.3846,0.3033,1.0,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.5102,49.0,CRITICAL
151,Entry Corridor,0,1132,8.086,1.0,0.5109,0.2898,0.8406,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4674,44.4,CRITICAL
181,Entry Corridor,0,1093,7.807,1.0,0.3835,0.2112,1.0,DANGER,DENSITY,Gate-Exit-Main:OPEN[HIGH] | Gate-Exit-Secondary:OPEN[MEDIUM],0.4858,51.4,CRITICAL
211,Entry Corridor,0,1082,7.729,1.0,0.734,0.1424,0.5876,WARNING,DENSITY,Gate-Exit-Main:OPEN[MEDIUM] | Gate-Exit-Secondary:OPEN[LOW],0.3988,32.1,ADEQUATE
241,Entry Corridor,0,1048,7.486,1.0,1.0,0.0087,0.4526,WARNING,DENSITY,Gate-Exit-Main:OPEN[MEDIUM] | Gate-Exit-Secondary:OPEN[LOW],0.3627,19.9,ADEQUATE
271,Entry Corridor,0,997,7.121,1.0,1.0,0.143,0.4929,WARNING,DENSITY,Gate-Exit-Main:OPEN[MEDIUM] | Gate-Exit-Secondary:OPEN[LOW],0.399,19.1,ADEQUATE
301,Entry Corridor,0,1010,7.214,1.0,1.0,0.3346,0.5504,WARNING,DENSITY,Gate-Exit-Main:OPEN[MEDIUM] | Gate-Exit-Secondary:OPEN[LOW],0.4507,18.1,ADEQUATE
331,Entry Corridor,0,927,6.621,0.9459,1.0,0.2783,0.5183,WARNING,DENSITY,Gate-Exit-Main:OPEN[MEDIUM] | Gate-Exit-Secondary:OPEN[LOW],0.4286,17.3,ADEQUATE
