frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
1,Main Hall,0,1285,9.179,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-Main-A:OPEN[HIGH] | Gate-Main-B:OPEN[MEDIUM],0.7912,0.0,CRITICAL
16,Main Hall,0,1123,8.021,1.0,1.0,0.2319,0.5196,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.423,18.6,ADEQUATE
31,Main Hall,0,1202,8.586,1.0,1.0,0.1499,0.495,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.4009,19.0,ADEQUATE
46,Main Hall,0,1078,7.7,1.0,1.0,0.1708,0.5012,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.4065,18.9,ADEQUATE
61,Main Hall,0,1156,8.257,1.0,1.0,0.2267,0.518,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.4216,18.6,ADEQUATE
76,Main Hall,0,1114,7.957,1.0,1.0,0.1607,0.4982,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.4038,18.9,ADEQUATE
91,Main Hall,0,1130,8.071,1.0,1.0,0.1813,0.5044,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.4094,18.8,ADEQUATE
106,Main Hall,0,1098,7.843,1.0,1.0,0.2655,0.5297,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.4321,18.4,ADEQUATE
121,Main Hall,0,1217,8.693,1.0,1.0,0.2026,0.5108,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.4151,18.7,ADEQUATE
136,Main Hall,0,1098,7.843,1.0,1.0,0.2312,0.5194,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.4228,18.6,ADEQUATE
151,Main Hall,0,1188,8.486,1.0,1.0,0.3435,0.5531,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.4532,18.1,ADEQUATE
166,Main Hall,0,1121,8.007,1.0,1.0,0.191,0.5073,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.412,18.8,ADEQUATE
181,Main Hall,0,1174,8.386,1.0,1.0,0.2014,0.5104,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.4148,18.7,ADEQUATE
196,Main Hall,0,1211,8.65,1.0,1.0,0.1586,0.4976,WARNING,DENSITY,Gate-Main-A:OPEN[MEDIUM] | Gate-Main-B:OPEN[LOW],0.4032,19.0,ADEQUATE
