frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
1,Entry Zone,0,36,0.9,0.1286,0.0,0.0,0.1351,SAFE,DENSITY,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.1304,3.5,CRITICAL
1,Central Zone,1,659,10.983,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-2:OPEN[HIGH] | Gate-3:OPEN[MEDIUM],0.7912,0.0,CRITICAL
1,Exit Zone,2,396,9.9,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-3:OPEN[HIGH] | Gate-4:OPEN[MEDIUM],0.7912,0.0,CRITICAL
13,Entry Zone,0,43,1.075,0.1536,0.8979,0.145,0.3355,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.3212,4.3,STRAINED
13,Central Zone,1,594,9.9,1.0,0.8979,0.145,0.5187,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.3968,23.5,STRAINED
13,Exit Zone,2,371,9.275,1.0,0.8979,0.145,0.5187,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3968,23.5,STRAINED
25,Entry Zone,0,27,0.675,0.0964,0.3816,0.1,0.188,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.1809,3.8,CRITICAL
25,Central Zone,1,544,9.067,1.0,0.3816,0.1,1.0,DANGER,DENSITY,Gate-2:OPEN[HIGH] | Gate-3:OPEN[MEDIUM],0.4565,54.4,CRITICAL
25,Exit Zone,2,364,9.1,1.0,0.3816,0.1,1.0,DANGER,DENSITY,Gate-3:OPEN[HIGH] | Gate-4:OPEN[MEDIUM],0.4565,54.4,CRITICAL
37,Entry Zone,0,40,1.0,0.1429,1.0,0.11,0.3489,SAFE,SPEED,Gate-1:HOLD[LOW] | Gate-2:HOLD[LOW],0.3339,4.3,STRAINED
37,Central Zone,1,583,9.717,1.0,1.0,0.11,0.483,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.3901,19.2,STRAINED
37,Exit Zone,2,398,9.95,1.0,1.0,0.11,0.483,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3901,19.2,STRAINED
49,Entry Zone,0,29,0.725,0.1036,1.0,0.145,0.3552,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.227,36.1,CRITICAL
49,Central Zone,1,556,9.267,1.0,1.0,0.145,0.4935,WARNING,DENSITY,Gate-2:OPEN[MEDIUM] | Gate-3:OPEN[LOW],0.3995,19.0,CRITICAL
49,Exit Zone,2,362,9.05,1.0,1.0,0.145,0.4935,WARNING,DENSITY,Gate-3:OPEN[MEDIUM] | Gate-4:OPEN[LOW],0.3995,19.0,CRITICAL
61,Entry Zone,0,29,0.725,0.1036,1.0,0.155,0.3582,WARNING,SPEED,Gate-1:CLOSE[MEDIUM] | Gate-2:HOLD[LOW],0.2294,36.0,CRITICAL
