frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
1,Entry Corridor,0,1058,30.229,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-Main-Entry:OPEN[HIGH] | Gate-Side-A:OPEN[MEDIUM],0.7912,0.0,
1,Main Hall,1,1226,15.325,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-Side-A:OPEN[HIGH] | Gate-Center-B:OPEN[MEDIUM],0.7912,0.0,
61,Entry Corridor,0,1042,29.771,1.0,0.6623,0.3334,0.693,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4556,34.3,
31,Main Hall,1,1307,16.337,1.0,1.0,0.1043,0.4813,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.3886,19.3,
121,Entry Corridor,0,1123,32.086,1.0,0.4384,0.2084,0.9352,DANGER,DENSITY,Gate-Main-Entry:OPEN[HIGH] | Gate-Side-A:OPEN[MEDIUM],0.4651,50.3,
61,Main Hall,1,1181,14.762,1.0,1.0,0.0743,0.4723,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.3804,19.5,
1,Exit Plaza,2,1089,24.2,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-Center-B:OPEN[HIGH] | Gate-Exit-Main:OPEN[MEDIUM],0.7912,0.0,
181,Entry Corridor,0,1076,30.743,1.0,0.762,0.1812,0.5839,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.408,30.1,
91,Main Hall,1,1247,15.588,1.0,1.0,0.0335,0.46,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.3694,19.7,
241,Entry Corridor,0,1042,29.771,1.0,1.0,0.1695,0.5009,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4062,18.9,
121,Main Hall,1,1255,15.688,1.0,1.0,0.0686,0.4706,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.3789,19.5,
301,Entry Corridor,0,943,26.943,1.0,1.0,0.1095,0.4829,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.39,19.2,
151,Main Hall,1,1147,14.338,1.0,1.0,0.131,0.4893,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.3958,19.1,
181,Main Hall,1,1186,14.825,1.0,1.0,0.1132,0.484,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.391,19.2,
361,Entry Corridor,0,869,24.829,1.0,1.0,0.1632,0.499,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4045,18.9,
26,Exit Plaza,2,956,21.244,1.0,0.7406,0.2214,0.6076,WARNING,DENSITY,Gate-Center-B:OPEN[MEDIUM] | Gate-Exit-Main:OPEN[LOW],0.4198,30.9,
211,Main Hall,1,1127,14.088,1.0,1.0,0.0324,0.4597,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.3691,19.7,
421,Entry Corridor,0,859,24.543,1.0,0.6478,0.1984,0.6641,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4206,36.7,
241,Main Hall,1,1260,15.75,1.0,1.0,0.0196,0.4559,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.3657,19.8,
481,Entry Corridor,0,895,25.571,1.0,0.5814,0.1905,0.7239,DANGER,DENSITY,Gate-Main-Entry:OPEN[HIGH] | Gate-Side-A:OPEN[MEDIUM],0.4271,41.0,
271,Main Hall,1,1208,15.1,1.0,1.0,0.1545,0.4964,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.4021,19.0,
541,Entry Corridor,0,893,25.514,1.0,0.6856,0.1944,0.6342,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.416,34.4,
301,Main Hall,1,1240,15.5,1.0,1.0,0.1565,0.4969,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.4026,19.0,
601,Entry Corridor,0,877,25.057,1.0,0.5894,0.1845,0.7138,DANGER,DENSITY,Gate-Main-Entry:OPEN[HIGH] | Gate-Side-A:OPEN[MEDIUM],0.4242,40.6,
51,Exit Plaza,2,970,21.556,1.0,1.0,0.0217,0.4565,WARNING,DENSITY,Gate-Center-B:OPEN[MEDIUM] | Gate-Exit-Main:OPEN[LOW],0.3663,19.8,
331,Main Hall,1,1109,13.863,1.0,1.0,0.0129,0.4539,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.3639,19.8,
661,Entry Corridor,0,886,25.314,1.0,0.6144,0.3123,0.7275,DANGER,DENSITY,Gate-Main-Entry:OPEN[HIGH] | Gate-Side-A:OPEN[MEDIUM],0.4552,37.4,
361,Main Hall,1,1129,14.113,1.0,1.0,0.1912,0.5074,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.412,18.8,
721,Entry Corridor,0,956,27.314,1.0,0.7164,0.3084,0.648,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4446,31.4,
391,Main Hall,1,1159,14.488,1.0,1.0,0.0041,0.4512,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.3615,19.9,
781,Entry Corridor,0,884,25.257,1.0,0.7472,0.2292,0.6062,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4215,30.5,
421,Main Hall,1,1147,14.338,1.0,1.0,0.2885,0.5365,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.4383,18.3,
76,Exit Plaza,2,977,21.711,1.0,1.0,0.1818,0.5045,WARNING,DENSITY,Gate-Center-B:OPEN[MEDIUM] | Gate-Exit-Main:OPEN[LOW],0.4095,18.8,
841,Entry Corridor,0,922,26.343,1.0,0.6295,0.2661,0.6999,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4409,37.0,
451,Main Hall,1,1112,13.9,1.0,1.0,0.0357,0.4607,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.37,19.7,
901,Entry Corridor,0,922,26.343,1.0,0.7566,0.3007,0.6226,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4404,29.3,
481,Main Hall,1,1064,13.3,1.0,1.0,0.2986,0.5396,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.441,18.3,
961,Entry Corridor,0,904,25.829,1.0,0.66,0.2648,0.6742,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4373,35.1,
511,Main Hall,1,1175,14.688,1.0,1.0,0.0317,0.4595,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.3689,19.7,
1021,Entry Corridor,0,904,25.829,1.0,0.7456,0.2937,0.6264,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.439,29.9,
101,Exit Plaza,2,959,21.311,1.0,1.0,0.1677,0.5003,WARNING,DENSITY,Gate-Center-B:OPEN[MEDIUM] | Gate-Exit-Main:OPEN[LOW],0.4057,18.9,
541,Main Hall,1,1138,14.225,1.0,1.0,0.0669,0.4701,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.3785,19.5,
1081,Entry Corridor,0,920,26.286,1.0,0.7955,0.2713,0.5947,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4313,27.5,
571,Main Hall,1,1170,14.625,1.0,1.0,0.0133,0.454,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.364,19.8,
1141,Entry Corridor,0,893,25.514,1.0,0.6326,0.2499,0.6924,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4361,37.0,
601,Main Hall,1,1192,14.9,1.0,1.0,0.2829,0.5349,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.4368,18.3,
