frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
1,Entry Corridor,0,1058,30.229,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-Main-Entry:OPEN[HIGH] | Gate-Side-A:OPEN[MEDIUM],0.7912,0.0,
1,Main Hall,1,1226,15.325,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-Side-A:OPEN[HIGH] | Gate-Center-B:OPEN[MEDIUM],0.7912,0.0,
61,Entry Corridor,0,1042,29.771,1.0,0.4319,0.215,0.9497,DANGER,DENSITY,Gate-Main-Entry:OPEN[HIGH] | Gate-Side-A:OPEN[MEDIUM],0.469,50.6,
31,Main Hall,1,1307,16.337,1.0,1.0,0.3249,0.5475,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.4481,18.2,
61,Main Hall,1,1181,14.762,1.0,1.0,0.3417,0.5525,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.4527,18.1,
121,Entry Corridor,0,1123,32.086,1.0,0.5046,0.0653,0.7823,DANGER,DENSITY,Gate-Main-Entry:OPEN[HIGH] | Gate-Side-A:OPEN[MEDIUM],0.4082,47.8,
1,Exit Plaza,2,1089,24.2,1.0,0.0,0.0,1.0,DANGER,DENSITY,Gate-Center-B:OPEN[HIGH] | Gate-Exit-Main:OPEN[MEDIUM],0.7912,0.0,
91,Main Hall,1,1247,15.588,1.0,1.0,0.3317,0.5495,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.4499,18.1,
181,Entry Corridor,0,1076,30.743,1.0,1.0,0.09,0.477,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.3847,19.4,
121,Main Hall,1,1255,15.688,1.0,1.0,0.303,0.5409,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.4422,18.2,
241,Entry Corridor,0,1042,29.771,1.0,1.0,0.4536,0.5861,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4829,17.6,
151,Main Hall,1,1147,14.338,1.0,1.0,0.2792,0.5338,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.4358,18.4,
301,Entry Corridor,0,943,26.943,1.0,1.0,0.4372,0.5812,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4784,17.7,
181,Main Hall,1,1186,14.825,1.0,1.0,0.335,0.5505,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.4508,18.1,
361,Entry Corridor,0,869,24.829,1.0,1.0,0.4112,0.5734,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.4714,17.8,
26,Exit Plaza,2,956,21.244,1.0,1.0,0.105,0.4815,WARNING,DENSITY,Gate-Center-B:OPEN[MEDIUM] | Gate-Exit-Main:OPEN[LOW],0.3887,19.3,
211,Main Hall,1,1127,14.088,1.0,1.0,0.2974,0.5392,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.4407,18.3,
421,Entry Corridor,0,859,24.543,1.0,0.9045,0.065,0.4928,WARNING,DENSITY,Gate-Main-Entry:OPEN[MEDIUM] | Gate-Side-A:OPEN[LOW],0.3753,23.8,
241,Main Hall,1,1260,15.75,1.0,1.0,0.3283,0.5485,WARNING,DENSITY,Gate-Side-A:OPEN[MEDIUM] | Gate-Center-B:OPEN[LOW],0.449,18.1,
481,Entry Corridor,0,895,25.571,1.0,0.3309,0.14,1.0,DANGER,DENSITY,Gate-Main-Entry:OPEN[HIGH] | Gate-Side-A:OPEN[MEDIUM],0.4905,51.0,
