frame,zone_name,zone_id,count,density,d_norm,s_norm,c_norm,crs,risk,factor,gate_summary,proj_crs,crr,resource_status
1,Panic Flow,0,207,1.479,0.2112,0.0,0.0,0.2009,SAFE,DENSITY,Gate-Entry-Main:HOLD[LOW] | Gate-Entry-Secondary:HOLD[LOW],0.1918,4.5,ADEQUATE
7,Panic Flow,0,199,1.421,0.2031,0.9084,0.092,0.329,SAFE,SPEED,Gate-Entry-Main:HOLD[LOW] | Gate-Entry-Secondary:HOLD[LOW],0.3158,4.0,ADEQUATE
13,Panic Flow,0,190,1.357,0.1939,1.0,0.101,0.3517,WARNING,SPEED,Gate-Entry-Main:CLOSE[MEDIUM] | Gate-Entry-Secondary:HOLD[LOW],0.236,32.9,ADEQUATE
19,Panic Flow,0,180,1.286,0.1837,1.0,0.1043,0.3516,WARNING,SPEED,Gate-Entry-Main:CLOSE[MEDIUM] | Gate-Entry-Secondary:HOLD[LOW],0.2345,33.3,ADEQUATE
25,Panic Flow,0,164,1.171,0.1673,0.4855,0.2143,0.2665,SAFE,SPEED,Gate-Entry-Main:HOLD[LOW] | Gate-Entry-Secondary:HOLD[LOW],0.256,3.9,ADEQUATE
31,Panic Flow,0,197,1.407,0.201,0.6897,0.2538,0.329,SAFE,SPEED,Gate-Entry-Main:HOLD[LOW] | Gate-Entry-Secondary:HOLD[LOW],0.3156,4.1,ADEQUATE
37,Panic Flow,0,205,1.464,0.2092,0.7936,0.1726,0.3285,SAFE,SPEED,Gate-Entry-Main:HOLD[LOW] | Gate-Entry-Secondary:HOLD[LOW],0.3153,4.0,ADEQUATE
43,Panic Flow,0,191,1.364,0.1949,0.9926,0.068,0.3402,SAFE,SPEED,Gate-Entry-Main:HOLD[LOW] | Gate-Entry-Secondary:HOLD[LOW],0.3264,4.1,ADEQUATE
49,Panic Flow,0,167,1.193,0.1704,0.7599,0.3136,0.3561,WARNING,SPEED,Gate-Entry-Main:CLOSE[MEDIUM] | Gate-Entry-Secondary:HOLD[LOW],0.2543,28.6,ADEQUATE
55,Panic Flow,0,139,0.993,0.1418,0.6142,0.1353,0.263,SAFE,SPEED,Gate-Entry-Main:HOLD[LOW] | Gate-Entry-Secondary:HOLD[LOW],0.2522,4.1,ADEQUATE
